timeOpen,open,high,low,close,volume,marketCap,Crypt
"Friday, November 21, 2025",133.51,134.79,122.27,128.50,10081815693.75,71832727208.64,SOL
"Thursday, November 20, 2025",136.77,144.33,131.39,133.52,8497498956.88,74619943331.15,SOL
"Wednesday, November 19, 2025",140.71,142.48,130.64,136.77,6005404885.52,75823110254.54,SOL
"Tuesday, November 18, 2025",130.85,141.83,129.31,140.71,7400753648.46,77993882739.84,SOL
"Monday, November 17, 2025",137.27,142.47,129.02,130.85,7330608944.09,72531245146.64,SOL
"Sunday, November 16, 2025",139.53,143.16,134.97,137.27,4722106856.75,76070055453.84,SOL
"Saturday, November 15, 2025",138.68,143.59,138.68,139.54,3449336898.51,77326661869.83,SOL
"Friday, November 14, 2025",145.11,145.47,136.04,138.68,8170562276.38,76830797737.94,SOL
"Thursday, November 13, 2025",153.26,156.99,141.40,145.11,7354986019.05,80394364503.31,SOL
"Wednesday, November 12, 2025",154.56,161.01,151.47,153.26,5979682267.39,84891758390.06,SOL
"Tuesday, November 11, 2025",167.37,171.61,154.26,154.57,6202061657.49,85613749986.59,SOL
"Monday, November 10, 2025",164.45,170.16,163.86,167.37,5424364139.31,92653004782.91,SOL
"Sunday, November 9, 2025",158.10,166.23,155.38,164.45,4538025398.12,91038807009.35,SOL
"Saturday, November 8, 2025",161.71,164.71,156.09,158.10,3777278818.35,87505038979.36,SOL
"Friday, November 7, 2025",155.07,164.09,150.44,161.71,6565811742.27,89500704270.01,SOL
"Thursday, November 6, 2025",162.56,162.78,153.79,155.07,5543550040.80,85711287096.45,SOL
"Wednesday, November 5, 2025",155.40,163.66,147.89,162.57,7278004531.55,89855270508.70,SOL
"Tuesday, November 4, 2025",166.10,168.20,146.75,155.40,11720472283.10,85876398000.48,SOL
"Monday, November 3, 2025",187.83,188.74,163.55,166.09,10083921329.25,91787351522.31,SOL
"Sunday, November 2, 2025",186.38,188.14,182.83,187.83,3213989849.05,103772866981.01,SOL
"Saturday, November 1, 2025",187.21,187.35,184.06,186.38,2742470896.65,102973874980.86,SOL
"Friday, October 31, 2025",184.63,189.85,184.02,187.21,5699604750.71,102931836883.75,SOL
"Thursday, October 30, 2025",194.40,198.04,179.22,184.62,8688393422.36,101513249291.82,SOL
"Wednesday, October 29, 2025",194.43,201.68,190.61,194.41,8057327834.25,106861804601.55,SOL
"Tuesday, October 28, 2025",198.74,203.83,191.39,194.44,8093133804.79,106880331639.81,SOL
"Monday, October 27, 2025",200.03,205.02,197.60,198.74,6714497027.03,109223688528.78,SOL
"Sunday, October 26, 2025",194.04,200.62,192.16,200.03,4753310566.93,109930854787.81,SOL
"Saturday, October 25, 2025",193.56,195.08,191.60,194.04,3170047006.49,106615000525.09,SOL
"Friday, October 24, 2025",191.39,195.31,189.11,193.56,5855077941.30,106353162404.25,SOL
"Thursday, October 23, 2025",180.15,193.18,179.80,191.39,6358339771.47,105136154483.04,SOL
"Wednesday, October 22, 2025",185.67,187.33,177.67,180.15,7337365275.39,98480520934.08,SOL
"Tuesday, October 21, 2025",189.76,197.37,183.31,185.67,8186574438.64,101474994786.54,SOL
"Monday, October 20, 2025",187.80,194.34,184.05,189.75,6103945646.45,103706337864.55,SOL
"Sunday, October 19, 2025",187.66,192.20,183.46,187.80,4863227044.92,102616425038.08,SOL
"Saturday, October 18, 2025",182.04,188.27,182.02,187.66,4108902789.22,102641416390.72,SOL
"Friday, October 17, 2025",184.69,187.43,174.74,182.03,10401735741.06,99543111466.13,SOL
"Thursday, October 16, 2025",194.02,197.96,182.25,184.69,10042886153.53,100990603104.53,SOL
"Wednesday, October 15, 2025",202.46,208.33,192.70,194.02,9867608881.52,106072006678.92,SOL
"Tuesday, October 14, 2025",208.36,211.11,191.67,202.46,13600198607.84,110686295882.27,SOL
"Monday, October 13, 2025",197.51,209.25,191.94,208.37,11469454797.85,113883599664.48,SOL
"Sunday, October 12, 2025",178.06,198.87,173.52,197.51,11797041281.03,107952799507.32,SOL
"Saturday, October 11, 2025",188.64,190.88,173.75,178.05,12850012617.93,97297317279.72,SOL
"Friday, October 10, 2025",220.99,224.25,174.07,188.66,16784427013.90,103043891197.35,SOL
"Thursday, October 9, 2025",229.10,229.32,217.20,220.99,7901186011.85,120690310495.93,SOL
"Wednesday, October 8, 2025",220.49,229.56,218.18,229.10,7198664384.37,125134538238.91,SOL
"Tuesday, October 7, 2025",232.51,235.09,220.45,220.48,9339230313.76,120403857480.96,SOL
"Monday, October 6, 2025",228.60,237.32,228.00,232.52,7521265449.90,126832435161.71,SOL
"Sunday, October 5, 2025",228.00,236.78,226.90,228.60,7132874649.72,124669580082.11,SOL
"Saturday, October 4, 2025",233.00,233.90,224.47,228.00,4553115833.66,124343290083.85,SOL
"Friday, October 3, 2025",234.85,236.79,227.68,233.00,9289248668.47,127040778073.30,SOL
"Thursday, October 2, 2025",221.69,234.86,219.86,234.86,9665302715.22,127661838146.39,SOL
"Wednesday, October 1, 2025",208.74,221.68,206.62,221.68,8264703259.56,120481776968.85,SOL
"Tuesday, September 30, 2025",213.04,213.51,204.57,208.74,6873718512.34,113504419635.64,SOL
"Monday, September 29, 2025",210.74,214.69,205.13,213.05,6886600485.80,115818048897.22,SOL
"Sunday, September 28, 2025",203.58,210.90,198.32,210.74,4467879568.78,114565005161.08,SOL
"Saturday, September 27, 2025",205.35,205.40,200.27,203.58,4016294138.67,110649657975.83,SOL
"Friday, September 26, 2025",192.40,205.42,191.13,205.35,10334548744.03,111607437818.53,SOL
"Thursday, September 25, 2025",211.75,212.40,192.08,192.38,12314273479.01,104547017452.06,SOL
"Wednesday, September 24, 2025",213.71,216.38,206.04,211.76,8377116522.07,115064741263.61,SOL
"Tuesday, September 23, 2025",220.50,221.35,212.80,213.72,7373425459.81,116104064166.02,SOL
"Monday, September 22, 2025",236.57,236.87,216.92,220.50,12102727916.45,119794817160.51,SOL
"Sunday, September 21, 2025",239.59,241.81,235.72,236.58,3513052984.23,128496545381.23,SOL
"Saturday, September 20, 2025",238.55,241.00,237.18,239.59,3518711911.55,130136549856.30,SOL
"Friday, September 19, 2025",247.64,248.51,235.87,238.55,7513642552.07,129540549740.72,SOL
"Thursday, September 18, 2025",244.85,253.21,242.91,247.64,9258651569.90,134476108243.21,SOL
"Wednesday, September 17, 2025",236.98,246.46,232.77,244.86,10420751508.58,132954448018.06,SOL
"Tuesday, September 16, 2025",234.36,240.68,231.87,236.99,7521208085.63,128679203565.40,SOL
"Monday, September 15, 2025",240.55,244.00,230.48,234.36,10017744936.04,127155339545.89,SOL
"Sunday, September 14, 2025",242.60,249.12,240.21,240.56,9358190854.14,130513423201.65,SOL
"Saturday, September 13, 2025",242.30,244.14,236.47,242.60,7478581446.69,131594727139.38,SOL
"Friday, September 12, 2025",228.76,243.79,228.26,242.30,13008621197.43,131435139304.32,SOL
"Thursday, September 11, 2025",223.99,228.91,222.03,228.76,9580815361.10,124059615050.11,SOL
"Wednesday, September 10, 2025",217.25,225.51,215.27,223.99,9070263027.21,121429627190.80,SOL
"Tuesday, September 9, 2025",214.19,219.52,211.16,217.25,8798692220.17,117751410736.30,SOL
"Monday, September 8, 2025",206.46,216.90,205.72,214.19,10019366594.27,116090941159.31,SOL
"Sunday, September 7, 2025",200.25,207.87,200.23,206.47,4153166545.48,111879958282.74,SOL
"Saturday, September 6, 2025",203.50,204.56,199.64,200.25,3057210359.90,108390165370.79,SOL
"Friday, September 5, 2025",202.55,209.86,201.18,203.50,7780086537.92,110124998913.89,SOL
"Thursday, September 4, 2025",210.75,211.80,202.13,202.56,5241887525.28,109609945579.76,SOL
